Stop #,Stop Name,Year,Day Type,Boardings,Alightings
394,WARREN ST @ WAVERLY ST,FY2018,Weekday,332,175
395,WARREN ST @ WHITING ST,FY2018,Weekday,80,138
396,WARREN ST @ MORELAND ST,FY2018,Weekday,94,123
399,WARREN ST OPP KEARSARGE AVE,FY2018,Weekday,269,96
401,WARREN ST @ WALNUT AVE,FY2018,Weekday,135,138
404,WARREN ST OPP WAVERLY ST,FY2018,Weekday,202,309
405,WARREN ST OPP WOODBINE ST,FY2018,Weekday,310,438
406,WARREN ST @ ML KING BLVD,FY2018,Weekday,461,401
407,WARREN ST @ TOWNSEND ST,FY2018,Weekday,582,528
410,WARREN ST @ WAUMBECK ST,FY2018,Weekday,209,340
411,WARREN ST @ BRUNSWICK ST,FY2018,Weekday,144,226
412,WARREN ST @ CRAWFORD ST,FY2018,Weekday,351,548
413,BLUE HILL AVE @ WAYNE ST,FY2018,Weekday,216,258
414,BLUE HILL AVE @ SEAVER ST,FY2018,Weekday,97,182
415,BLUE HILL AVE OPP COLUMBIA RD,FY2018,Weekday,473,485
416,BLUE HILL AVE OPP GLENWAY ST,FY2018,Weekday,147,285
417,BLUE HILL AVE @ AMERICAN LEGI,FY2018,Weekday,142,278
419,BLUE HILL AVE @ ANGELL ST,FY2018,Weekday,261,387
420,TALBOT AVE OPP NIGHTINGALE ST,FY2018,Weekday,161,61
421,TALBOT AVE OPP KERWIN ST,FY2018,Weekday,92,85
422,TALBOT AVE @ BERNARD ST,FY2018,Weekday,115,86
423,TALBOT AVE @ NEW ENGLAND AVE,FY2018,Weekday,57,103
424,TALBOT AVE @ COLONIAL AVE,FY2018,Weekday,63,148
425,TALBOT AVE @ NORFOLK ST,FY2018,Weekday,46,322
426,TALBOT AVE @ LITHGOW ST,FY2018,Weekday,334,353
428,TALBOT AVE @ WELLES AVE,FY2018,Weekday,26,201
430,TALBOT AVE @ DORCHESTER AVE,FY2018,Weekday,8,519
431,355 NORFOLK ST OPP WITHINGTON,FY2018,Weekday,10,9
432,NORFOLK ST @ DARLINGTON ST,FY2018,Weekday,5,8
434,NORFOLK ST @ NEW ENGLAND AVE,FY2018,Weekday,26,36
435,NORFOLK ST @ MILTON AVE,FY2018,Weekday,8,7
436,NORFOLK ST @ CHARLES RD,FY2018,Weekday,14,17
437,WASHINGTON ST @ WELLES AVE,FY2018,Weekday,8,7
438,227 NORFOLK ST OPP STANTON ST,FY2018,Weekday,24,16
439,247 NORFOLK ST OPP CAPEN ST,FY2018,Weekday,17,18
440,NORFOLK ST OPP NELSON ST,FY2018,Weekday,17,22
441,NORFOLK ST @ WILLOWWOOD ST,FY2018,Weekday,10,11
443,NORFOLK ST @ MORTON ST,FY2018,Weekday,47,65
445,NORFOLK ST @ MORTON ST,FY2018,Weekday,71,80
446,NORFOLK ST @ NELSON ST,FY2018,Weekday,16,25
447,NORFOLK ST @ CAPEN ST,FY2018,Weekday,17,14
448,NORFOLK ST. @ STANTON ST. OPP,FY2018,Weekday,16,18
449,NORFOLK ST @ THETFORD AVE,FY2018,Weekday,20,17
450,NORFOLK ST @ MILTON AVE,FY2018,Weekday,11,16
451,NORFOLK ST OPPOSITE WOODROW A,FY2018,Weekday, -   ,0
452,NORFOLK ST @ PEACEVALE RD,FY2018,Weekday,18,21
453,NORFOLK ST @ CHIPMAN ST,FY2018,Weekday,8,5
454,NORFOLK ST @ WITHINGTON ST,FY2018,Weekday,3,4
455,NORFOLK ST @ EPPING ST,FY2018,Weekday,3,22
457,WASHINGTON ST @ KENWOOD ST,FY2018,Weekday,337,113
458,WASHINGTON ST @ MELVILLE AVE,FY2018,Weekday,175,84
460,WASHINGTON ST @ PARK ST,FY2018,Weekday,214,108
461,WASHINGTON ST OPP ALGONQUIN S,FY2018,Weekday,126,82
463,WASHINGTON ST @ BOWDOIN ST,FY2018,Weekday,327,151
465,WASHINGTON ST @ VASSAR ST.,FY2018,Weekday,105,72
467,WASHINGTON ST OPP ERIE ST,FY2018,Weekday,215,169
468,WASHINGTON ST @ COLUMBIA RD,FY2018,Weekday,280,244
469,WASHINGTON ST @ JOE L SMITH W,FY2018,Weekday,131,109
470,WASHINGTON ST @ BLUE HILL AVE,FY2018,Weekday,72,170
471,WASHINGTON ST @ BLUE HILL AVE,FY2018,Weekday,234,151
472,WASHINGTON ST @ JEREMIAH BURK,FY2018,Weekday,93,125
473,WASHINGTON ST @ COLUMBIA RD,FY2018,Weekday,198,214
475,WASHINGTON ST @ ERIE ST,FY2018,Weekday,188,234
477,WASHINGTON ST @ VASSAR ST,FY2018,Weekday,81,84
478,WASHINGTON ST @ HARVARD ST,FY2018,Weekday,157,289
480,WASHINGTON ST @ ALGONQUIN ST,FY2018,Weekday,67,97
482,WASHINGTON ST @ PARK ST,FY2018,Weekday,80,191
483,WASHINGTON ST @ WHEATLAND AVE,FY2018,Weekday,68,165
485,WASHINGTON ST @ SOUTHERN AVE,FY2018,Weekday,109,615
487,WASHINGTON ST OPP WELLES AVE,FY2018,Weekday,2,11
489,WASHINGTON ST OPP ASHMONT ST,FY2018,Weekday,5,29
490,WASHINGTON ST @ ARMANDINE ST,FY2018,Weekday,8,20
491,WASHINGTON ST @ STOCKTON ST,FY2018,Weekday,6,27
492,WASHINGTON ST @ FULLER ST,FY2018,Weekday,6,19
493,WASHINGTON ST @ OGDEN ST,FY2018,Weekday,7,14
494,GALLIVAN BLVD @ WASHINGTON ST,FY2018,Weekday,24,7
495,WASHINGTON ST @ CODMAN HILL A,FY2018,Weekday,1,5
496,GALLIVAN BLVD @ OWENCROFT RD,FY2018,Weekday,37,31
497,GALLIVAN BLVD @ MILTON AVE,FY2018,Weekday,40,42
498,GALLIVAN BLVD @ ARBELLA RD,FY2018,Weekday,19,29
499,GALIVAN BLVD @ WILMINGTON ST,FY2018,Weekday,112,100
501,GALLIVAN BLVD @ NEVADA ST,FY2018,Weekday,27,26
507,GALLIVAN BLVD @ MORTON ST,FY2018,Weekday,115,103
508,GALLIVAN BLVD OPP ARBELLA RD,FY2018,Weekday,38,23
509,GALLIVAN BLVD @ OAKRIDGE ST,FY2018,Weekday,33,30
510,GALLIVAN BLVD @ PLEASANT HILL,FY2018,Weekday,17,27
511,WASHINGTON ST @ GALLIVAN BLVD,FY2018,Weekday,3,7
512,WASHINGTON ST OPP CODMAN HILL,FY2018,Weekday,1,1
514,WASHINGTON ST @ COOLIDGE RD,FY2018,Weekday,12,12
515,WASHINGTON ST @ FULLER ST,FY2018,Weekday,24,17
516,WASHINGTON ST @ BURT ST,FY2018,Weekday,20,17
517,WASHINGTON ST OPP ARMANDINE S,FY2018,Weekday,27,17
